timestamp_local,timestamp_utc,target_altitude_deg,target_azimuth_deg,sun_altitude_deg,moon_altitude_deg,moon_separation_deg
2026-01-10T18:00:00+08:00,2026-01-10T10:00:00+00:00,13.213937,108.765534,-9.895488,-60.246024,109.332300
2026-01-10T18:10:00+08:00,2026-01-10T10:10:00+00:00,15.024944,110.536520,-11.700514,-60.116441,109.429611
2026-01-10T18:20:00+08:00,2026-01-10T10:20:00+00:00,16.814872,112.345339,-13.521543,-59.836504,109.526770
2026-01-10T18:30:00+08:00,2026-01-10T10:30:00+00:00,18.581448,114.196097,-15.357274,-59.410532,109.623724
2026-01-10T18:40:00+08:00,2026-01-10T10:40:00+00:00,20.322242,116.092997,-17.206444,-58.844740,109.720424
2026-01-10T18:50:00+08:00,2026-01-10T10:50:00+00:00,22.034657,118.040347,-19.067822,-58.146840,109.816819
2026-01-10T19:00:00+08:00,2026-01-10T11:00:00+00:00,23.715909,120.042537,-20.940198,-57.325590,109.912859
2026-01-10T19:10:00+08:00,2026-01-10T11:10:00+00:00,25.363014,122.104024,-22.822378,-56.390359,110.008495
2026-01-10T19:20:00+08:00,2026-01-10T11:20:00+00:00,26.972772,124.229302,-24.713174,-55.350734,110.103679
2026-01-10T19:30:00+08:00,2026-01-10T11:30:00+00:00,28.541755,126.422854,-26.611393,-54.216202,110.198362
2026-01-10T19:40:00+08:00,2026-01-10T11:40:00+00:00,30.066295,128.689097,-28.515831,-52.995909,110.292497
2026-01-10T19:50:00+08:00,2026-01-10T11:50:00+00:00,31.542475,131.032310,-30.425257,-51.698497,110.386037
2026-01-10T20:00:00+08:00,2026-01-10T12:00:00+00:00,32.966125,133.456535,-32.338401,-50.332008,110.478938
2026-01-10T20:10:00+08:00,2026-01-10T12:10:00+00:00,34.332827,135.965467,-34.253939,-48.903836,110.571154
2026-01-10T20:20:00+08:00,2026-01-10T12:20:00+00:00,35.637923,138.562315,-36.170477,-47.420718,110.662642
2026-01-10T20:30:00+08:00,2026-01-10T12:30:00+00:00,36.876532,141.249647,-38.086527,-45.888757,110.753361
2026-01-10T20:40:00+08:00,2026-01-10T12:40:00+00:00,38.043585,144.029209,-40.000485,-44.313455,110.843268
2026-01-10T20:50:00+08:00,2026-01-10T12:50:00+00:00,39.133866,146.901737,-41.910599,-42.699762,110.932325
2026-01-10T21:00:00+08:00,2026-01-10T13:00:00+00:00,40.142073,149.866752,-43.814937,-41.052124,111.020492
2026-01-10T21:10:00+08:00,2026-01-10T13:10:00+00:00,41.062890,152.922370,-45.711341,-39.374540,111.107733
